,directory,hotel,review,score,sentiment
0,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/176099008.html,Amsterdam Inn &amp; Suites Moncton,"""This time, the first thing I noticed about this hotel is a young staff that was friendly, courteous, knowledgeable and helpful.  One of the two best that I have ever encountered. We stayed in a front first floor room, which meant that we had an interior corridor, but also direct access to the outside and our car parked right in front of the room.  The room itself was well above average, very clean, comfortable, nice bathroom.  The (included) breakfast was quite good.  We can't speak to the WiFi, as we hooked up to our own mobile unit.",4,positive
1,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/69391153.html,Amsterdam Inn &amp; Suites Moncton,"""I have no complaints about this hotel.  While nothing really stood out as being exceptional, it was clean and comfortable.  The service was OK, the breakfast was tasty with good selection for a continental, and while the location is somewhat out of the way, it's by no means inconvienent.\n\nThe price **may** have been a little high at $130\u002Fnight, however i've paid more for worse!\n\nRecommended.",4,positive
2,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/377150449.html,Amsterdam Inn &amp; Suites Moncton,"""hotel had all the items we needed for our stay including fridge, coffee maker and free breakfast and WIFI .  Two minute walk to the casino for booked entertainment, or gambling at the casino. car necessary for all the great shopping in Moncton area. Great place to stay.",4,positive
3,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/751866680.html,Amsterdam Inn &amp; Suites Moncton,"""Navigating during this difficult time of covid-19 this hotel and their staff were nothing but Amazing. Welcoming with open arms but 6 feet away , their cleanliness to details and for the protection of their staff was exceptional. Their kindness goes beyond a 10\u002F10 rating ... They were simply amazing, accommodating, kind and compassionate ... We recommend them 10 times over and it was our first time meeting them and visiting this hotel in beautiful Moncton . Cathy needs a little star on her nametag, as she was a blessing to deal with . We cannot wait to book the beautiful honeymoon suite once our world returns to normal, and we can visit Moncton, and all it has to offer !",5,positive
4,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/137814133.html,Amsterdam Inn &amp; Suites Moncton,"""Our single room on the ground floor had an outside entrance with a cute little porch. This hotel has a lot of pros: convenient location (you don't have to drive hither and yon to find it from the highway), very clean rooms, super comfy bed, helpful & friendly front desk staff, breakfast included, strong wifi. Would definitely recommend.",5,positive
5,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/157958885.html,Amsterdam Inn &amp; Suites Moncton,"""We stayed at the Amsterdam in Fredericton, and based on our experience there, we chose to stay at the Amsterdam in Moncton as well.  We were not disappointed! The cleanliness of the hotel, the oh so comfy beds and friendly staff are all good reasons why I wouldn't hesitate to stay here again if I'm ever in the Moncton area. Right now these Amsterdam Inns are only in New Brunswick, if they ever go nation wide look out all you other hotel chains! I would certainly recommend this hotel to friends and family.",5,positive
6,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/206846100.html,Amsterdam Inn &amp; Suites Moncton,"""Stayed here for a night out in Moncton May 23rd.  I couldn't be more pleased.  Comfortable and clean.  The girls at the desk were so nice and very helpful.  One in particular who worked the overnight shift was so sweet.  I will be staying here in the future that is for sure.",5,positive
7,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/388473886.html,Amsterdam Inn &amp; Suites Moncton,"""Great hotel, we had a drive to room.  Nice & clean.  We liked the Keurig coffee machine with 3 types of coffee and tea. Great bed and bathroom.\nClose to Moncton's Casino and the Magnetic Hill.\n\nRecommended",4,positive
8,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/102888851.html,Amsterdam Inn &amp; Suites Moncton,"""My family and I had a great stay at this hotel.  It was very clean and cozy!  Traveling with young children is never easy, and definitely not cheap, so the fact that children under 12 stay free was a big bonus!  I would highly recommend this hotel to anyone and especially those traveling with their family!",5,positive
9,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/610347187.html,Amsterdam Inn &amp; Suites Moncton,"""Reasonably priced and in good condition. Plenty of parking. No elevator to second floor. Breakfast was typical of hotels of this type, not great, but free. I would not hesitate to visit again if in the area.",4,positive
10,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/610631124.html,Amsterdam Inn &amp; Suites Moncton,"""I spent one night in a ground floor room. The room and property were very clean and comfortable. I liked the convenience of the drive up door as well as access from the inside to go to the lobby for breakfast or to get ice and snacks. Bathroom nice and clean as well. Beds comfy and good water pressure. Great location on Mountain Road next door to the Casino and super close to Magnetic Hill attractions. The included hot breakfast was tasty and had a great selection. \n\nOnly reason I didn't give 5 stars were these two things: 1) breakfast space is very limited compared to the number of rooms, so it gets really packed. 2) room was expensive for what it was. Although nice, realistically this is a motel and $160 plus tax was a bit steep for what it was.\n\n",4,positive
11,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/604118491.html,Amsterdam Inn &amp; Suites Moncton,"""We really liked this inn. With two entrances to the room -- from the hotel hallway or from the parking lot, we were able to load and unload our luggage very easily, and access the hotel's amenities, too. Hot coffee and tea were available all day, and the hot breakfast buffet really impressed us. With such reasonable pricing, this newer hotel is a great find for families who are heading out to Magic Mountain. Lots of restaurants are nearby for dinner, too.",5,positive
12,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/102889943.html,Amsterdam Inn &amp; Suites Moncton,"""Our recent stay at the Amsterdam Inn, Moncton was wonderful!  The hotel\u002Froom was immaculate and the staff was very friendly.  The continental breakfast in the morning was delicious!  The morning newspaper was a nice bonus.  I would highly recommend staying at the Amsterdam Inn!!",5,positive
13,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/564046905.html,Amsterdam Inn &amp; Suites Moncton,"""We attended a show at the casino and choose to stay next door because the price was right. The room was clean and comfortable, the staff was very friendly, and I had a great sleep. I was a bit concerned that it would be loud as most guests seemed to be show attendees, but it was very quiet. Easy to get to, and the hot breakfast was a nice bonus.",4,positive
14,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/635781272.html,Amsterdam Inn &amp; Suites Moncton,"""Clean and well maintained hotel that won't break the bank.  Street level rooms have doors to the outside making it easy to unload the vehicle.  Great area with easy access to anything in Moncton.  Breakfast is a good spread with many options.",5,positive
15,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/186973055.html,Amsterdam Inn &amp; Suites Moncton,"""Spent two nights here with my kids.  Very clean room, and excellent beds.  Just feels more like home than other big box hotels.  would highly recommend.  Morning breakfast was very good, and access to free high speed internet is a must when traveling with my children.",5,positive
16,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/324655663.html,Amsterdam Inn &amp; Suites Moncton,"""The family suites are awesome, they have a small kids room tucked behind the wall of the main living area, where there is a bunk bed and beautifully painted wall murals. They also have a small TV and a gaming system there! My son loved having his \""own\"" room :) Only problem with the hotel was that the WIFI is not password protected, so there was WAY too much traffic on there and impossible to use, kept getting bumped off :(",4,positive
17,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/417035381.html,Amsterdam Inn &amp; Suites Moncton,"""I did not have the best experience, they asked for my feedback on my receipt, which I provided with a question and received no response. \n\nI ran into a few problems during my stay, the staff were poorly trained or didn't care. When checking out, the staff didn't even engage in conversation with me. They talked amongst themselves and slapped the receipt on the counter in front of me. \n\nHow many aeroplan points should you get per night?  This trip I received 20 for one night, last year I received 173 for two nights, the year before that in the range of 550 for five nights...makes no sense to me. Also, what happened to a frequent visitor reward?  Is this no longer offered?  I wasn't asked nor given the chance to ask the agent about it. \n\nAll and all, I'm disappointed. I have always spoken very highly of this establishment and have recommended it to numerous friends over the years. I'm not so sure about my decision to do so anymore, I wouldn't want my recommendation to have them receive the same treatment. \n\n",2,negative
18,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/583986630.html,Amsterdam Inn &amp; Suites Moncton,"""We stayed here for two nights. Reception staff were very helpful.  We had an issue with the supplier I had booked through, but they assisted with getting the situation sorted.  Room 202 on the upper floor, (only 2 floors) was good, we had 2 beds in the room.  Lots of towels and bathroom amenities available.  Quiet location, no noise from casino is close proximity.  Free parking offered.  A pretty varied free breakfast choice, although the hot food left a lot to be desired!  Appeared to be powdered egg made int scrambled eggs. Did not try them.  The beans were luke warm!  Overall a good stop, but some enhancements required.",4,positive
19,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/64278770.html,Amsterdam Inn &amp; Suites Moncton,"""I was quoted a rate of $95 per night based on 2 people on hotels.ca.\nWhen I arrived at the hotel, I was told the rate was actually $105 per night because it was a weekend and there were 2 people staying. \nIt ruined our weekend gateway. \nThey fixed the problem after I complained twice that this was not the price that I was quoted on hotels.ca\nTold me that it was a HOTEL.CA problem.\n Have stayed there before and enjoyed it but am not sure I will stay again.\u200E",2,negative
